Code Class,Name,Accession,Normal 1,Normal 2,Tumor 1,Tumor 2
Endogenous1,mmu-miR-367|0,MIMAT0003181,17,24,40,14
Endogenous1,mmu-miR-346|0,MIMAT0000597,8,4,14,2
Endogenous1,mmu-miR-432|0,MIMAT0012771,16,14,18,10
Endogenous1,mmu-miR-665|0,MIMAT0003733,11,15,13,5
Endogenous1,mmu-miR-875-5p|0,MIMAT0004937,8,6,8,9
Endogenous1,mmu-miR-770-3p|0,MIMAT0003891,15,20,16,10
Endogenous1,mmu-let-7i|0,MIMAT0000122,155,147,2663,1012
Endogenous1,mmu-miR-1900|0,MIMAT0007870,11,12,26,10
Endogenous1,mmu-miR-25|0,MIMAT0000652,151,117,1351,714
Endogenous1,mmu-miR-29b|0,MIMAT0000127,947,890,3056,822
Endogenous1,mmu-miR-30e|0,MIMAT0000248,110,80,345,109
Endogenous1,mmu-miR-1940|0,MIMAT0009404,24,18,28,15
Endogenous1,mmu-miR-1187|0,MIMAT0005837,16,14,22,5
Endogenous1,mmu-miR-201|0,MIMAT0000234,17,14,39,9
Endogenous1,mmu-miR-3470a+mmu-miR-3470b|0,MIMAT0015640,16,14,18,6
Endogenous1,mmu-miR-330|0,MIMAT0004642,11,6,20,2
Endogenous1,mmu-miR-181a|0,MIMAT0000210,49,42,795,354
Endogenous1,mmu-miR-433|0,MIMAT0001420,17,7,14,6
Endogenous1,mmu-miR-466k|0,MIMAT0005845,15,11,24,9
Endogenous1,mmu-miR-3471|0,MIMAT0015642,20,24,29,21
Endogenous1,mmu-miR-32|0,MIMAT0000654,24,24,141,72
Endogenous1,mmu-miR-214|0,MIMAT0000661,18,9,77,25
Endogenous1,mmu-miR-128|0,MIMAT0000140,13,17,28,8
Endogenous1,mmu-miR-300|0,MIMAT0000378,9,10,16,6
Endogenous1,mmu-miR-672|0,MIMAT0003735,12,9,11,1
Endogenous1,mmu-miR-710|0,MIMAT0003500,25,18,20,9
Endogenous1,mmu-miR-491|0,MIMAT0003486,9,11,14,4
Endogenous1,mmu-miR-184|0,MIMAT0000213,20,9,8,7
Endogenous1,mmu-miR-464|0,MIMAT0002105,15,11,14,9
Endogenous1,mmu-miR-194|0,MIMAT0000224,1264,968,2260,1122
Endogenous1,mmu-miR-1957|0,MIMAT0009430,13,12,19,6
Endogenous1,mmu-miR-1224|0,MIMAT0005460,98,77,230,99
Endogenous1,mmu-miR-23a|0,MIMAT0000532,141,119,1663,555
Endogenous1,mmu-miR-200a|0,MIMAT0000519,29,23,1347,470
Endogenous1,mmu-miR-877|0,MIMAT0004861,15,17,23,6
Endogenous1,mmu-miR-770-5p|0,MIMAT0004822,11,6,19,2
Endogenous1,mmu-miR-103|0,MIMAT0000546,98,107,365,114
Endogenous1,mmu-miR-767|0,MIMAT0012773,14,24,16,4
Endogenous1,mmu-miR-2138|0,MIMAT0011214,11,13,18,5
Endogenous1,mmu-miR-875-3p|0,MIMAT0004938,17,15,27,16
Endogenous1,mmu-miR-345-5p|0,MIMAT0000595,36,18,67,42
Endogenous1,mmu-miR-671-3p|0,MIMAT0004821,14,10,12,7
Endogenous1,mmu-miR-33|0,MIMAT0000667,22,31,60,32
Endogenous1,mmu-miR-16|0,MIMAT0000527,1056,1106,6601,2561
Endogenous1,mmu-miR-96|0,MIMAT0000541,24,21,494,235
Endogenous1,mmu-miR-23b|0,MIMAT0000125,240,194,1223,447
Endogenous1,mmu-miR-30c|0,MIMAT0000514,140,156,236,108
Endogenous1,mmu-miR-463|0,MIMAT0004758,16,4,25,4
Endogenous1,mmu-miR-190|0,MIMAT0000220,12,6,29,13
Endogenous1,mmu-miR-484|0,MIMAT0003127,16,19,113,46
Endogenous1,mmu-miR-202-3p|0,MIMAT0000235,16,17,25,6
Endogenous1,mmu-miR-1942|0,MIMAT0009407,18,16,45,11
Endogenous1,mmu-miR-27a|0,MIMAT0000537,299,334,1747,652
Endogenous1,mmu-miR-2140|0,MIMAT0011216,19,11,20,12
Endogenous1,mmu-miR-541|0,MIMAT0003170,29,7,14,15
Endogenous1,mmu-miR-380-5p|0,MIMAT0000744,10,10,18,12
Endogenous1,mmu-miR-421|0,MIMAT0004869,35,42,70,23
Endogenous1,mmu-miR-434-3p|0,MIMAT0001422,9,11,13,5
Endogenous1,mmu-miR-31|0,MIMAT0000538,16,23,68,20
